Record_ID,Date,Mess_Hall_ID,Day_of_Week,Meal_Type,Menu_Item,Cuisine_Category,Food_Type,Contains_Egg,Contains_Dairy,Protein_Content_Category,Is_Served_On_Separate_Counter,Is_Special_Menu,Food_Prepared_kg,Food_Consumed_kg,Food_Wasted_kg,Waste_Percentage,Cost_Per_Kg_INR,Serving_Size_Per_Student_g,Leftover_Redistribution_kg,Cook_on_Duty,Mess_Supervisor_ID,Preparation_Start_Time,Service_End_Time
OPS-20210101-MH_A-0001,2021-01-01,MH_A,Friday,Breakfast,Rava Idli,South Indian,Veg,False,False,Low,False,False,20.0,18.49,1.51,7.54,92.92,256.4,,C005,SUP04,06:30,0900
OPS-20210101-MH_A-0002,01/01/2021,MH_A,Friday,Breakfast,Coffee,Continental,Veg,False,True,Low,False,False,20.0,15.61,4.39,21.97,67.92,256.4,,C023,SUP05,06:30,0900
OPS-20210101-MH_A-0003,2021-01-01,MH_A,Friday,Breakfast,Egg Bhurji,North Indian,Egg,True,False,High,True,False,3.2,2.72,0.48,16.84,151.84,41.0,,C019,SUP03,06:30,0900
OPS-20210101-MH_A-0004,2021-01-01,MH_A,Friday,Breakfast,Bread-Butter,Continental,Veg,False,True,Low,False,False,20.0,16.21,3.79,18.95,77.24,256.4,,C006,SUP07,06:30,09:00
OPS-20210101-MH_A-0005,2021-01-01,MH_A,Friday,Lunch,Egg Curry,North Indian,Egg,True,False,High,True,False,3.2,2.59,0.61,21.2,158.51,17.6,,C009,SUP06,12:00,2:30 PM
OPS-20210101-MH_A-0006,2021-01-01,MH_A,Friday,Lunch,Mutton Curry,North Indian,Non_Veg,False,False,High,True,False,8.0,6.53,1.47,16.12,427.73,44.0,,C001,SUP05,12:00,14:30
OPS-20210101-MH_A-0007,2021-01-01,MH_A,Friday,Lunch,Dosa,South Indian,Veg,False,False,Low,False,False,40.0,31.74,8.26,20.64,96.34,219.8,,C012,SUP06,12:00,14:30
OPS-20210101-MH_A-0008,2021-01-01,MH_A,Friday,Lunch,Chana Masala,North Indian,VEG,False,False,High,False,False,40.0,30.03,9.97,24.94,120.39,219.8,,C010,SUP05,12:00,1430
OPS-20210101-MH_A-0009,2021-01-01,MH_A,Friday,Lunch,Dum Aloo,North Indian,Vegetarian,False,False,Low,False,False,40.0,31.72,8.28,18.21,93.16,219.8,,C001,SUP02,12:00,14:30
OPS-20210101-MH_A-0010,2021-01-01,MH_A,Friday,Lunch,Chicken Soup,Continental,Non_Veg,False,False,Medium,True,False,8.0,6.74,1.26,17.69,175.07,44.0,,C019,SUP03,12:00,14:30
