Cost_Record_ID,Date,Mess_Hall_ID,Menu_Item,Primary_Ingredient,Ingredient_Quantity_kg,Market_Price_Per_Kg_INR,Total_Ingredient_Cost_INR,Labour_Cost_INR,Fuel_Cost_INR,Total_Cost_INR,Waste_Cost_INR,Supplier_ID,Price_Spike_Flag,Procurement_Method,Batch_Quality_Grade
CR-20210101-MH_A-BREA,01/01/2021,MH_A,Bread-Butter,Bread,46.7,86.62,4045.15,469.91,,4515.06,1541.6,V10,False,Contract,B
CR-20210101-MH_A-KEEM,"January 01, 2021",MH_A,Keema Matar,Mutton,7.02,516.13,3623.23,793.43,137.95,4554.61,896.46,V08,False,Contract,
CR-20210101-MH_A-IDLI,2021-01-01,MH_A,Idli-Sambar,Rice,42.2,81.62,3444.36,668.43,,4112.79,511.78,V01,False,Contract,B
CR-20210101-MH_B-PURI,2021-01-01,MH_B,Puri-Sabzi,Wheat,77.33,59.77,4622.01,318.67,223.08,5163.76,1261.43,V03,False,Contract,A
CR-20210101-MH_B-VEGE,01/01/2021,MH_B,Vegetable Soup,Mixed Vegetables,48.67,36.17,1760.39,454.96,79.92,2295.27,701.24,V03,False,Direct_Farm,A
CR-20210101-MH_B-PALA,"January 01, 2021",MH_B,Palak Paneer,Paneer,48.03,292.55,14051.18,319.06,179.44,14549.68,3381.68,V12,False,Direct_Farm,A
CR-20210101-MH_G-BREA,2021-01-01,MH_G,Bread-Butter,Bread,35.8,73.85,2643.83,,205.74,2849.57,550.96,V02,False,Spot_Market,A
CR-20210101-MH_G-IDLI,2021-01-01,MH_G,Idli-Sambar,Rice,24.61,78.95,1942.96,,,1942.96,422.04,V12,False,Spot_Market,B
CR-20210101-MH_G-PANE,2021-01-01,MH_G,Paneer Curry,Paneer,27.12,301.36,8172.88,640.63,197.78,9011.29,964.66,V10,False,Contract,B
CR-20210102-MH_A-EGG,02/01/2021,MH_A,Egg Bhurji,Egg,60.63,8.92,540.82,339.45,298.89,1179.16,294.87,V11,False,Spot_Market,B
CR-20210102-MH_A-BREA,2021-01-02,MH_A,Bread-Omelette,Egg,50.14,7.84,393.1,220.47,197.24,810.81,261.61,V04,False,Direct_Farm,A
CR-20210102-MH_A-ALOO,2021-01-02,MH_A,Aloo Gobi,Potato,18.3,15.96,292.07,686.45,,978.52,175.51,V01,False,Contract,
CR-20210102-MH_A-CHIC,2021-01-02,MH_A,Chicken Biryani,Chicken,11.38,262.61,2988.5,515.82,274.37,3778.69,634.06,V07,False,Contract,
CR-20210102-MH_B-RAJM,2021-01-02,MH_B,Rajma Rice,Rajma,70.37,112.71,7931.4,606.21,105.07,8642.68,2583.26,V05,False,Contract,A
CR-20210102-MH_B-MIXE,2021-01-02,MH_B,Mixed Veg,Mixed Vegetables,58.69,69.05,4052.54,293.6,230.24,4576.38,1591.4,V05,False,Spot_Market,A
CR-20210102-MH_B-KHEE,02/01/2021,MH_B,Kheer,Milk,5.21,69.91,364.23,404.5,142.0,910.73,262.9,V07,False,Spot_Market,B
CR-20210102-MH_B-CHIC,2021-01-02,MH_B,Chicken Soup,Chicken,26.49,222.36,5890.32,320.82,184.59,6395.73,2145.39,V05,False,Contract,B
CR-20210102-MH_G-PRAW,2021-01-02,MH_G,Prawn Masala,Prawn,20.57,366.68,7542.61,689.92,,8232.53,2392.09,V09,False,Spot_Market,C
CR-20210102-MH_G-MIXE,2021-01-02,MH_G,Mixed Veg,Mixed Vegetables,15.06,70.61,1063.39,709.09,286.94,2059.42,550.73,V07,False,Contract,B
CR-20210102-MH_G-KHEE,02/01/2021,MH_G,Kheer,Milk,32.59,62.87,2048.93,540.45,270.06,2859.44,989.39,V01,False,Direct_Farm,
CR-20210102-MH_G-JAIN,2021-01-02,MH_G,Jain Dal,Dal,14.04,80.78,1134.15,402.8,,1536.95,480.66,V10,False,Contract,A
CR-20210103-MH_A-JAIN,2021-01-03,MH_A,Jain Dal,Dal,66.46,126.23,8389.25,578.05,,8967.3,1782.32,V10,False,Contract,B
CR-20210103-MH_A-RAJM,03/01/2021,MH_A,Rajma Rice,Rajma,72.15,111.28,8028.85,561.49,218.56,8808.9,928.75,V10,False,Contract,A
CR-20210103-MH_A-CHOL,"January 03, 2021",MH_A,Chole Bhature,Chickpea,39.76,99.0,3936.24,344.52,102.23,4382.99,1291.29,V11,False,Spot_Market,A
CR-20210103-MH_A-EGG,2021-01-03,MH_A,Egg Curry,Egg,13.93,11.38,158.52,470.34,,628.86,127.53,V06,False,Spot_Market,B
CR-20210103-MH_A-POHA,2021-01-03,MH_A,Poha,Flattened Rice,72.1,51.55,3716.75,733.0,195.69,4645.44,1192.33,V05,False,Contract,C
CR-20210103-MH_B-TEA,2021-01-03,MH_B,Tea,Tea Leaves,4.8,370.64,1779.07,712.98,248.77,2740.82,870.34,V03,False,Direct_Farm,B
CR-20210103-MH_B-JAIN,"January 03, 2021",MH_B,Jain Sabzi,Mixed Vegetables,26.49,75.0,1986.75,497.17,,2483.92,576.07,V09,False,Contract,
CR-20210103-MH_B-PANE,2021-01-03,MH_B,Paneer Curry,Paneer,9.61,275.47,2647.27,501.24,268.74,3417.25,625.89,V11,False,Contract,B
CR-20210103-MH_B-ALOO,2021-01-03,MH_B,Aloo Paratha,Potato,20.48,18.99,,366.09,,755.01,142.5,V10,False,Spot_Market,A
CR-20210103-MH_B-DOSA,03/01/2021,MH_B,Dosa,Rice,59.54,65.85,3920.71,240.33,281.31,4442.35,994.82,V09,False,Contract,A
CR-20210103-MH_G-BHEL,2021-01-03,MH_G,Bhel Puri,Puffed Rice,74.85,57.81,4327.08,509.65,52.45,4889.18,1365.63,V10,False,Contract,A
CR-20210103-MH_G-KADH,03/01/2021,MH_G,Kadhi Pakoda,Yogurt,27.25,61.09,1664.7,769.94,225.25,2659.89,841.68,V04,False,Spot_Market,B
CR-20210103-MH_G-JAIN,2021-01-03,MH_G,Jain Sabzi,Mixed Vegetables,38.09,36.5,1390.29,546.93,277.83,2215.05,238.57,V12,False,Contract,
CR-20210103-MH_G-CHIC,03/01/2021,MH_G,Chicken Soup,Chicken,24.2,165.58,4007.04,425.6,233.4,4666.04,497.51,V09,False,Contract,A
CR-20210103-MH_G-EGG,2021-01-03,MH_G,Egg Fried Rice,Egg,10.97,10.8,,392.39,156.28,667.15,226.66,V07,False,Contract,A
CR-20210104-MH_A-DOSA,2021-01-04,MH_A,Dosa,Rice,48.11,73.58,3539.93,761.24,97.31,4398.48,1156.86,V05,False,Direct_Farm,B
CR-20210104-MH_A-BOIL,2021-01-04,MH_A,Boiled Eggs,Egg,52.19,11.88,620.02,443.43,224.03,1287.48,426.76,V05,False,Contract,A
CR-20210104-MH_A-PALA,"January 04, 2021",MH_A,Palak Paneer,Paneer,70.42,333.25,23467.47,688.75,180.01,24336.23,2999.48,V10,False,Contract,C
CR-20210104-MH_B-MUTT,2021-01-04,MH_B,Mutton Curry,Mutton,21.01,472.53,9927.86,333.92,184.45,10446.23,3650.8,V05,False,Spot_Market,
CR-20210104-MH_B-UPMA,2021-01-04,MH_B,Upma,Semolina,6.07,60.17,365.23,326.51,82.32,774.06,187.19,V04,False,Contract,B
CR-20210104-MH_B-CHIC,2021-01-04,MH_B,Chicken Soup,Chicken,12.03,269.68,,259.39,223.24,3726.88,1033.14,V12,False,Contract,
CR-20210104-MH_G-CHOL,"January 04, 2021",MH_G,Chole Bhature,Chickpea,16.13,88.12,1421.38,203.9,175.64,1800.92,418.73,V11,False,Contract,A
CR-20210104-MH_G-PURI,2021-01-04,MH_G,Puri-Sabzi,Wheat,76.13,57.68,4391.18,365.8,142.29,4899.27,675.8,V04,False,Contract,A
CR-20210104-MH_G-PALA,2021-01-04,MH_G,Palak Paneer,Paneer,49.65,272.2,13514.73,491.83,255.33,14261.89,3092.43,V07,False,Contract,A
CR-20210105-MH_A-EGG,2021-01-05,MH_A,Egg Bhurji,Egg,39.99,8.78,351.11,449.44,292.26,1092.81,273.71,V04,False,Spot_Market,B
CR-20210105-MH_A-PALA,"January 05, 2021",MH_A,Palak Paneer,Paneer,77.61,332.02,25768.07,,102.63,25870.7,5014.34,V11,False,Contract,C
CR-20210105-MH_A-BAIN,05/01/2021,MH_A,Baingan Bharta,Brinjal,74.09,55.36,4101.62,788.87,286.42,5176.91,1771.21,V04,False,Contract,
CR-20210105-MH_A-BHEL,2021-01-05,MH_A,Bhel Puri,Puffed Rice,36.0,41.62,1498.32,709.13,,2207.45,563.57,V11,False,Contract,B
CR-20210105-MH_B-FISH,"January 05, 2021",MH_B,Fish Fry,Fish,29.59,256.09,7577.7,309.27,198.22,8085.19,2574.19,V09,False,Spot_Market,
CR-20210105-MH_B-ALOO,05/01/2021,MH_B,Aloo Dum,Potato,49.11,41.89,2057.22,783.54,194.26,3035.02,501.05,V12,False,Spot_Market,A
CR-20210105-MH_B-MIXE,2021-01-05,MH_B,Mixed Veg,Mixed Vegetables,57.26,35.13,2011.54,747.96,,2759.5,828.19,V10,False,Contract,A
CR-20210105-MH_B-BREA,2021-01-05,MH_B,Bread-Butter,Bread,-6.256391910873719,50.67,3809.88,587.44,,4397.32,1366.43,V03,False,Direct_Farm,A
CR-20210105-MH_G-BOIL,"January 05, 2021",MH_G,Boiled Eggs,Egg,58.32,7.49,436.82,390.26,183.31,1010.39,315.79,V07,False,Spot_Market,A
CR-20210105-MH_G-FRUI,05/01/2021,MH_G,Fruit Plate,Fruits,33.56,74.72,2507.6,,210.52,2718.12,933.74,V12,False,Contract,B
CR-20210105-MH_G-IDLI,2021-01-05,MH_G,Idli-Sambar,Rice,38.35,71.14,2728.22,,217.7,2945.92,879.02,V08,False,Contract,A
CR-20210105-MH_G-EGG,"January 05, 2021",MH_G,Egg Bhurji,Egg,63.04,6.35,400.3,369.65,234.74,1004.69,148.64,V12,False,Spot_Market,
CR-20210106-MH_A-BOIL,"January 06, 2021",MH_A,Boiled Eggs,Egg,42.77,10.61,453.79,222.35,261.59,937.73,154.91,V03,False,Contract,
CR-20210106-MH_A-DUM,"January 06, 2021",MH_A,Dum Aloo,Potato,25.38,39.41,1000.23,641.72,,1641.95,499.52,V10,False,Contract,A
CR-20210106-MH_A-EGG,06/01/2021,MH_A,Egg Fried Rice,Egg,17.89,7.47,133.64,,164.77,298.41,100.08,V02,False,Spot_Market,A
CR-20210106-MH_B-KADH,06/01/2021,MH_B,Kadhi Pakoda,Yogurt,63.93,76.5,4890.64,563.11,264.46,5718.21,1383.64,V12,False,Contract,B
CR-20210106-MH_B-CHIC,2021-01-06,MH_B,Chicken Masala,Chicken,26.82,262.88,7050.44,637.46,,7687.9,1576.94,V04,False,Contract,
CR-20210106-MH_B-COFF,2021-01-06,MH_B,Coffee,Coffee Beans,4.4,565.08,2486.35,,152.13,2638.48,472.99,V05,False,Spot_Market,B
CR-20210106-MH_G-BHEL,2021-01-06,MH_G,Bhel Puri,Puffed Rice,61.76,44.37,2740.29,727.31,56.72,3524.32,1144.75,V10,False,Contract,A
CR-20210106-MH_G-PURI,2021-01-06,MH_G,Puri-Sabzi,Wheat,17.42,57.31,998.34,634.78,125.49,1758.61,353.54,V07,False,Direct_Farm,B
CR-20210106-MH_G-CHIC,2021-01-06,MH_G,Chicken Masala,Chicken,29.13,237.93,6930.9,,249.05,7179.95,2133.12,V06,False,Spot_Market,C
CR-20210107-MH_A-VEGE,07/01/2021,MH_A,Vegetable Soup,Mixed Vegetables,21.71,63.91,1387.49,796.58,212.18,2396.25,680.4,V10,False,Contract,A
CR-20210107-MH_A-CHIC,2021-01-07,MH_A,Chicken Biryani,Chicken,14.33,239.9,3437.77,340.51,,3778.28,689.76,V06,False,Contract,A
CR-20210107-MH_A-DUM,2021-01-07,MH_A,Dum Aloo,Potato,71.65,0.0,2171.71,654.14,287.61,3113.46,421.04,V01,False,Contract,B
CR-20210107-MH_B-CHIC,2021-01-07,MH_B,Chicken Soup,Chicken,14.21,220.93,3139.42,262.17,98.83,3500.42,486.81,V06,False,Spot_Market,
CR-20210107-MH_B-RAVA,"January 07, 2021",MH_B,Rava Idli,Semolina,65.55,55.36,3628.85,547.31,164.06,4340.22,1515.27,V07,False,Contract,A
CR-20210107-MH_B-COFF,"January 07, 2021",MH_B,Coffee,Coffee Beans,1.9,457.59,869.42,383.17,,1252.59,270.57,V06,False,Direct_Farm,C
CR-20210107-MH_G-DUM,2021-01-07,MH_G,Dum Aloo,Potato,30.7,29.4,902.58,468.18,227.56,1598.32,425.48,V08,False,Contract,C
CR-20210107-MH_G-SAMO,2021-01-07,MH_G,Samosa,Potato,11.93,42.6,508.22,413.64,289.03,1210.89,364.32,V08,False,Spot_Market,A
CR-20210107-MH_G-KHEE,"January 07, 2021",MH_G,Kheer,Milk,54.62,62.89,3435.05,697.93,164.12,4297.1,465.28,V07,False,Spot_Market,A
CR-20210108-MH_A-HALW,2021-01-08,MH_A,Halwa,Semolina,61.49,68.41,4206.53,647.59,228.34,5082.46,1041.16,V01,False,Spot_Market,B
CR-20210108-MH_A-ALOO,2021-01-08,MH_A,Aloo Paratha,Potato,62.86,15.73,988.79,659.49,298.31,1946.59,409.04,V11,False,Contract,B
CR-20210108-MH_A-DAL,08/01/2021,MH_A,Dal Fry,Dal,7.64,126.16,963.86,455.18,114.5,1533.54,454.37,V04,False,Spot_Market,B
CR-20210108-MH_B-COFF,2021-01-08,MH_B,Coffee,Coffee Beans,2.74,352.1,964.75,632.91,,1597.66,483.93,V12,False,Contract,C
CR-20210108-MH_B-ALOO,08/01/2021,MH_B,Aloo Gobi,Potato,36.99,26.87,993.92,489.91,89.57,1573.4,376.28,V10,False,Direct_Farm,A
CR-20210108-MH_B-PURI,08/01/2021,MH_B,Puri-Sabzi,Wheat,42.22,57.99,2448.34,,,2448.34,761.47,V10,False,Spot_Market,A
CR-20210108-MH_G-ALOO,"January 08, 2021",MH_G,Aloo Gobi,Potato,12.63,26.81,338.61,211.26,,549.87,66.34,V07,False,Contract,
CR-20210108-MH_G-RAVA,08/01/2021,MH_G,Rava Idli,Semolina,68.52,43.37,2971.71,,,2971.71,876.15,V03,False,Contract,A
CR-20210108-MH_G-FRUI,2021-01-08,MH_G,Fruit Plate,Fruits,37.08,86.78,3217.8,365.31,,3583.11,534.06,V03,False,Spot_Market,C
