Feedback_ID,Date,Student_ID,Mess_Hall_ID,Meal_Type,Menu_Item,Food_Type_Rated,Taste_Rating,Freshness_Rating,Hygiene_Rating,Quantity_Adequate,Temperature_Appropriate,Smell_Rating,Overall_Rating,Cross_Contamination_Complaint,Would_Eat_Again,Would_Prefer_Veg_Alternative,Portion_Size_Feedback,Comments,Survey_Channel,Submission_Timestamp
FB-0000001,2021-01-11,S3915,MH_A,Lunch,Chicken Soup,Non_Veg,2,3,4,1,,,5.0,False,False,True,,very tasty,In_Person,2021-01-11 14:29
FB-0000002,"January 11, 2021",S3915,MH_A,Lunch,Bisi Bele Bath,Veg,2,3,5,5,,,4.0,False,False,,Too_Little,,QR_Code,2021-01-11 12:41
FB-0000003,2021-01-11,S1812,MH_A,Snacks,Bread-Omelette,Egg,2,2,5,4,,,4.0,False,False,,Too_Little,very tasty,QR_Code,2021-01-11 18:01
FB-0000004,"January 11, 2021",S1812,MH_A,Snacks,Dosa,Veg,4,5,1,3,,,4.0,False,False,,,stale,QR_Code,2021-01-11 17:52
FB-0000005,11/01/2021,S1812,MH_A,Snacks,Idli-Sambar,Veg,1,4,5,2,,,2.0,False,False,,Just_Right,too oily,In_Person,2021-01-11 17:30
FB-0000006,11/01/2021,S2882,MH_A,Lunch,Bisi Bele Bath,Veg,3,2,3,2,,,5.0,False,False,,Too_Little,not fresh,QR_Code,2021-01-11 14:31
FB-0000007,2021-01-11,S2882,MH_A,Lunch,Mutton Curry,Non_Veg,1,4,5,3,,,4.0,False,True,False,Just_Right,,QR_Code,2021-01-11 14:34
FB-0000008,"January 11, 2021",S2882,MH_A,Lunch,Chicken Biryani,Non_Veg,1,1,4,3,,,3.0,False,False,False,Too_Little,cross-contamination,In_Person,2021-01-11 13:30
FB-0000009,2021-01-11,S2643,MH_A,Lunch,Mixed Veg,Veg,3,2,3,1,,,5.0,False,True,,Just_Right,,QR_Code,2021-01-11 14:20
FB-0000010,2021-01-11,S2643,MH_A,Lunch,Chicken Biryani,Non_Veg,1,4,1,3,,,4.0,False,False,True,Just_Right,stale,QR_Code,2021-01-11 13:05
FB-0000011,2021-01-11,S1144,MH_A,Dinner,Aloo Dum,Veg,2,3,4,2,,,4.0,False,False,,,,QR_Code,2021-01-11 21:10
FB-0000012,"January 11, 2021",S1144,MH_A,Dinner,Prawn Masala,Non_Veg,4,3,4,5,,,4.0,False,False,,Just_Right,,QR_Code,2021-01-11 22:12
FB-0000013,"January 11, 2021",S1376,MH_A,Lunch,Chicken Soup,Non_Veg,5,4,4,4,,,2.0,False,False,,,,QR_Code,2021-01-11 13:16
