Attendance_ID,Date,Mess_Hall_ID,Meal_Type,Total_Registered_Students,Present_For_Meal,Attendance_Percentage,Male_Count,Female_Count,Absentee_Count,Veg_Counter_Count,Non_Veg_Counter_Count,Egg_Counter_Count,Veg_Non_Veg_Ratio,Advance_Menu_Announced,Biometric_Verified,Special_Event_Day,Data_Collection_Method
ATT-20210101-MH_A-BRE,"January 01, 2021",MH_A,Breakfast,450,78,,78.0,,372,,,,,True,True,False,Manual_Count
ATT-20210101-MH_A-LUN,"January 01, 2021",MH_A,Lunch,450,182,40.44,182.0,,268,,,,,True,False,False,Token_System
ATT-20210101-MH_A-SNA,2021-01-01,MH_A,Snacks,450,48,10.67,48.0,,402,,,,,False,True,False,Biometric
ATT-20210101-MH_A-DIN,01/01/2021,MH_A,Dinner,450,113,25.11,113.0,,337,,,,,False,True,False,Biometric
ATT-20210101-MH_B-BRE,01/01/2021,MH_B,Breakfast,450,115,25.56,115.0,,335,,,,,False,True,False,Biometric
ATT-20210101-MH_B-LUN,"January 01, 2021",MH_B,Lunch,450,153,34.0,153.0,,297,,,,,False,True,False,Biometric
ATT-20210101-MH_B-SNA,2021-01-01,MH_B,Snacks,450,123,27.33,123.0,,327,,,,,False,True,False,Biometric
ATT-20210101-MH_B-DIN,2021-01-01,MH_B,Dinner,450,139,30.89,139.0,,311,,,,,True,True,False,Biometric
ATT-20210101-MH_G-BRE,"January 01, 2021",MH_G,Breakfast,300,70,23.33,,70.0,230,,,,,True,True,False,Biometric
ATT-20210101-MH_G-LUN,01/01/2021,MH_G,Lunch,300,118,39.33,,118.0,182,,,,,False,True,False,Manual_Count
ATT-20210101-MH_G-SNA,"January 01, 2021",MH_G,Snacks,300,42,14.0,,42.0,258,,,,,True,True,False,Manual_Count
ATT-20210101-MH_G-DIN,01/01/2021,MH_G,Dinner,300,106,35.33,,106.0,194,,,,,False,True,False,Token_System
ATT-20210102-MH_A-BRE,2021-01-02,MH_A,Breakfast,450,112,24.89,112.0,,338,,,,,True,True,False,Token_System
ATT-20210102-MH_A-LUN,2021-01-02,MH_A,Lunch,450,174,38.67,174.0,,276,,,,,False,False,False,Manual_Count
ATT-20210102-MH_A-SNA,02/01/2021,MH_A,Snacks,450,30,6.67,30.0,,420,,,,,False,True,False,Token_System
ATT-20210102-MH_A-DIN,2021-01-02,MH_A,Dinner,450,112,24.89,112.0,,338,,,,,True,True,False,Token_System
ATT-20210102-MH_B-BRE,02/01/2021,MH_B,Breakfast,450,85,18.89,85.0,,365,,,,,True,True,False,Manual_Count
ATT-20210102-MH_B-LUN,2021-01-02,MH_B,Lunch,450,125,27.78,125.0,,325,,,,,True,True,False,Biometric
ATT-20210102-MH_B-SNA,2021-01-02,MH_B,Snacks,450,37,8.22,37.0,,413,,,,,True,True,False,Biometric
ATT-20210102-MH_B-DIN,02/01/2021,MH_B,Dinner,450,71,15.78,71.0,,379,,,,,True,True,False,Manual_Count
ATT-20210102-MH_G-BRE,02/01/2021,MH_G,Breakfast,300,54,18.0,,54.0,246,,,,,True,True,False,Biometric
ATT-20210102-MH_G-LUN,02/01/2021,MH_G,Lunch,300,80,26.67,,80.0,220,,,,,True,True,False,Biometric
ATT-20210102-MH_G-SNA,2021-01-02,MH_G,Snacks,300,49,16.33,,49.0,251,,,,,True,True,False,Token_System
ATT-20210102-MH_G-DIN,2021-01-02,MH_G,Dinner,300,89,29.67,,89.0,211,,,,,True,True,False,Biometric
ATT-20210103-MH_A-BRE,"January 03, 2021",MH_A,Breakfast,450,102,22.67,102.0,,348,,,,,False,True,False,Manual_Count
ATT-20210103-MH_A-LUN,03/01/2021,MH_A,Lunch,450,124,27.56,124.0,,326,,,,,True,False,False,Token_System
ATT-20210103-MH_A-SNA,2021-01-03,MH_A,Snacks,450,38,8.44,38.0,,412,,,,,True,True,False,Biometric
ATT-20210103-MH_A-DIN,2021-01-03,MH_A,Dinner,450,91,20.22,91.0,,359,,,,,True,True,False,Token_System
ATT-20210103-MH_B-BRE,"January 03, 2021",MH_B,Breakfast,450,107,23.78,107.0,,343,,,,,True,True,False,Token_System
ATT-20210103-MH_B-LUN,"January 03, 2021",MH_B,Lunch,450,142,31.56,142.0,,308,,,,,False,True,False,Biometric
ATT-20210103-MH_B-SNA,03/01/2021,MH_B,Snacks,450,34,7.56,34.0,,416,,,,,False,True,False,Biometric
ATT-20210103-MH_B-DIN,"January 03, 2021",MH_B,Dinner,450,130,28.89,130.0,,320,,,,,False,True,False,Biometric
ATT-20210103-MH_G-BRE,2021-01-03,MH_G,Breakfast,300,67,22.33,,67.0,233,,,,,True,True,False,Biometric
ATT-20210103-MH_G-LUN,2021-01-03,MH_G,Lunch,300,116,38.67,,116.0,184,,,,,True,True,False,Biometric
ATT-20210103-MH_G-SNA,2021-01-03,MH_G,Snacks,300,42,14.0,,42.0,258,,,,,False,True,False,Token_System
ATT-20210103-MH_G-DIN,03/01/2021,MH_G,Dinner,300,79,26.33,,79.0,221,,,,,False,True,False,Biometric
ATT-20210104-MH_A-BRE,04/01/2021,MH_A,Breakfast,450,68,15.11,68.0,,382,,,,,False,True,False,Token_System
ATT-20210104-MH_A-LUN,2021-01-04,MH_A,Lunch,450,156,34.67,156.0,,294,,,,,False,True,False,Manual_Count
ATT-20210104-MH_A-SNA,2021-01-04,MH_A,Snacks,450,76,16.89,76.0,,374,,,,,True,True,False,Manual_Count
ATT-20210104-MH_A-DIN,04/01/2021,MH_A,Dinner,450,124,27.56,124.0,,326,,,,,False,True,False,Manual_Count
