Date,Temperature_C,Temperature_Min_C,Feels_Like_C,Rainfall_mm,Humidity_Percent,Weather_Condition,Season,UV_Index,Wind_Speed_kmph,Air_Quality_Index,Dew_Point_C,Visibility_km
01/01/2021,23.6,1.9,21.9,0.0,28.6,Clear,Winter,,6.4,50,-2.7,14.1
02/01/2021,17.0,10.7,13.5,0.0,42.1,Clear,Winter,9.1,29.8,95,9.6,14.4
"January 03, 2021",15.7,6.7,13.8,0.0,30.2,Clear,Winter,7.2,7.7,105,,13.6
04/01/2021,19.2,6.5,18.6,0.0,33.4,Clear,Winter,9.5,13.0,113,3.2,14.8
2021-01-05,15.1,10.7,12.5,0.0,28.9,Clear,Winter,4.8,10.2,127,6.3,14.6
"January 06, 2021",24.1,8.2,23.7,0.0,25.0,Clear,Winter,7.8,9.7,86,5.4,15.0
2021-01-07,17.7,9.6,21.5,0.0,48.7,Clear,Winter,4.6,19.6,62,8.2,14.3
2021-01-08,15.8,10.7,14.1,0.0,26.0,Clear,Winter,4.8,11.1,56,8.1,15.0
2021-01-09,19.2,10.3,18.1,14.3,38.3,Rain,Winter,5.9,10.2,50,5.8,9.8
2021-01-10,19.4,9.6,18.3,0.0,36.6,Clear,Winter,3.9,40.0,131,6.1,14.9
11/01/2021,17.3,3.9,14.8,0.0,25.0,Clear,Winter,5.8,17.4,87,0.0,14.4
"January 12, 2021",13.8,11.2,10.4,0.0,25.5,Fog,Winter,,9.8,50,,0.8
2021-01-13,16.4,3.8,17.6,9.8,32.3,Rain,Summer,5.3,20.0,177,0.7,11.6
14/01/2021,23.2,7.4,22.2,0.0,25.0,Clear,Winter,4.3,6.7,59,5.1,14.7
2021-01-15,19.5,9.6,19.0,0.0,45.5,Clear,Winter,3.9,11.3,83,7.0,13.7
16/01/2021,21.5,9.2,17.8,0.0,26.9,Clear,Winter,4.2,72.2,50,7.8,14.6
2021-01-17,19.1,9.1,18.1,0.0,25.0,Clear,Winter,6.8,6.5,77,7.4,14.3
2021-01-18,16.1,8.1,18.8,0.0,42.9,Clear,Winter,5.9,15.6,124,7.0,14.3
2021-01-19,15.4,6.8,19.5,0.0,34.4,Clear,Winter,6.4,8.9,127,3.8,13.4
2021-01-20,20.5,6.4,20.8,0.0,27.8,Clear,Winter,10.0,56.9,77,2.8,14.6
21/01/2021,13.3,9.8,12.7,0.0,25.0,Cloudy,Winter,5.7,7.4,83,6.9,13.4
"January 22, 2021",16.8,11.6,13.8,0.0,37.4,Clear,Winter,5.6,34.5,92,8.4,15.0
2021-01-23,19.1,7.0,17.9,0.0,31.1,Clear,Winter,9.1,98.4,50,3.7,13.2
2021-01-24,21.5,7.3,20.7,0.0,31.2,Clear,Winter,,15.5,71,5.8,12.7
"January 25, 2021",17.7,-1.6,18.4,0.0,32.3,Clear,Winter,10.0,5.2,103,,14.8
2021-01-26,10.4,8.4,7.5,0.0,37.4,Fog,Winter,4.0,13.9,77,5.8,1.7
2021-01-27,10.1,6.8,5.0,0.0,29.0,Cloudy,Winter,5.3,29.1,50,2.6,14.1
2021-01-28,19.4,10.0,19.4,0.0,38.8,Clear,Winter,9.2,9.8,50,7.8,14.3
29/01/2021,20.7,11.6,20.6,0.0,29.8,Clear,Winter,,11.3,81,8.2,14.7
"January 30, 2021",21.0,4.7,18.7,0.0,31.1,Clear,Winter,11.0,26.7,126,0.8,12.2
2021-01-31,20.5,8.6,16.3,0.0,25.0,Clear,Winter,4.9,20.6,122,,14.4
2021-02-01,15.9,8.0,17.7,0.0,25.0,Clear,Winter,9.9,143.26109022370457,139,5.2,14.4
02/02/2021,15.4,9.2,12.6,0.0,25.4,Clear,Winter,,41.5,50,,13.9
2021-02-03,16.0,5.0,15.9,2.3,37.4,Clear,Winter,,10.3,50,3.4,13.4
2021-02-04,18.6,11.1,15.1,0.0,41.0,Clear,Winter,6.2,17.6,55,8.7,13.4
"February 05, 2021",14.0,9.8,12.5,0.0,25.0,Clear,Winter,5.5,21.6,136,8.8,14.5
2021-02-06,19.6,6.5,18.2,0.0,36.7,Clear,Winter,7.1,12.8,68,4.7,14.9
2021-02-07,18.3,9.1,15.9,0.0,31.8,Clear,Winter,3.8,10.5,80,6.2,14.8
